Street Name,Street Type,Residential,Bikeway,Street Length,Latitude,Longitude,Street Coordinates
Borriana,Street,0,0,110.4389213275827,39.46497917115678,-0.3670659296642545,"[[-0.3676281242168885, 39.464739661983614], [-0.3665037351116205, 39.46521868032994]]"
Virginia Woolf,Street,0,0,31.060676505832905,39.46552907325966,-0.39837878029210605,"[[-0.39833955231016577, 39.46566557981171], [-0.3984180082740464, 39.46539256670761]]"
Maria Cuber,Street,0,0,56.07390146778091,39.46394606678843,-0.33327634103883713,"[[-0.3335985925218705, 39.46398198202541], [-0.3335819058888548, 39.46398159916537], [-0.3329541939975122, 39.46390864730226]]"
Pelai,Street,0,0,76.72094238863338,39.46527961635818,-0.3792601382226916,"[[-0.3791199815957301, 39.46560752488556], [-0.3794002948496531, 39.4649517078308]]"
Lo Rat Penat,Street,0,0,181.70113190992151,39.465148658939995,-0.3543057149035328,"[[-0.3539200698497013, 39.465910241605584], [-0.35406615291066523, 39.4656207826354], [-0.35469184264524417, 39.464387320499505]]"
Murcia,Square,0,0,21.307964332615164,39.46565689004389,-0.40833140935369916,"[[-0.4083685817401157, 39.46556537831698], [-0.40829423696728256, 39.465748401770796]]"
Bisbe Amigo,Square,0,0,40.361646398530375,39.46655392473204,-0.38654048524932166,"[[-0.3866525192040157, 39.46639428549037], [-0.3864284512946275, 39.466713563973705]]"
Andres Mancebo,Street,0,0,150.69110853150502,39.465454619785056,-0.35527711240160637,"[[-0.35496013144265165, 39.466087067473126], [-0.35518096257843157, 39.46564616818793], [-0.35559427285566014, 39.464822262070015]]"
Port,Avenue,0,0,90.3138370896051,39.4653418699173,-0.35064483854920986,"[[-0.3511338287321916, 39.46548896640626], [-0.35095971444276447, 39.465437404340435], [-0.35015612060573165, 39.46519386474517]]"
Jacinto Benavente,Avenue,0,0,105.53190084519468,39.46738095247008,-0.36303589409476333,"[[-0.3633041465935482, 39.46780819992539], [-0.3627676415959785, 39.46695370501476]]"
Teatre De La Marina,Street,0,0,36.56639216341364,39.46617385236318,-0.3297958342233465,"[[-0.3300062302909954, 39.466196740455466], [-0.3299722849764797, 39.466191456176794], [-0.32962639511113606, 39.46615649142187], [-0.32958504315830855, 39.46615554120418]]"
Josep Barbera Falco,Street,0,0,21.00948895142383,39.46777388999142,-0.4009676795590425,"[[-0.40108677230751977, 39.46779457556648], [-0.40084858681056523, 39.467753204416354]]"
Port,Avenue,0,0,166.3753775333035,39.46772945401039,-0.3587487491747113,"[[-0.35965649576809644, 39.46798661886971], [-0.3588615764588742, 39.4677613536547], [-0.35784097256202835, 39.46747239513152]]"
Just Vilar,Street,0,0,76.25595143987123,39.46711042925284,-0.3318395925817401,"[[-0.33228236103379977, 39.46710032090995], [-0.3313968241296804, 39.46712053759573]]"
Columbretes,Street,0,0,46.52879602320324,39.468071509144494,-0.32850278967026364,"[[-0.32877039505191163, 39.46810071362688], [-0.32869453646143176, 39.468089961162], [-0.32832687612845657, 39.46805448299759], [-0.32823503817588845, 39.46804337187397]]"
Pont D Arago,Other,0,0,225.99593257623025,39.46886497074385,-0.36262103640553855,"[[-0.3639327205899772, 39.46882242554052], [-0.36130935222109994, 39.46890751594719]]"
Jorge Juan,Street,0,0,169.64875874582754,39.46961021321288,-0.3695762316790344,"[[-0.37003789019408523, 39.4702850609524], [-0.3691145731639836, 39.46893536547338]]"
Pintor Gonzalo Peris,Square,0,0,75.94045691629164,39.46848573811756,-0.3396376069498164,"[[-0.3398732568994958, 39.46826521865379], [-0.3397009004350015, 39.468594596857045], [-0.33930508974100576, 39.46847743925819]]"
Sant Vicent Martir,Street,0,0,50.88996236854421,39.46933699686794,-0.3790031382809223,"[[-0.37885195873446353, 39.469533805050574], [-0.3788969859544943, 39.469476263416695], [-0.3791537098306544, 39.46913971893344]]"
Mossen Jacint Verdaguer,Street,0,0,112.74984423936026,39.46972135532313,-0.3858777671000383,"[[-0.3861901390626067, 39.470167561490804], [-0.3855653951374699, 39.46927514915545]]"
Sants Just I Pastors,Street,0,0,98.10972574224805,39.4682161539274,-0.3430615766914839,"[[-0.34354936850262136, 39.46842585633879], [-0.3434666108236448, 39.46832937264216], [-0.34253903086903975, 39.46806043307922]]"
Roger Lloria,Street,0,0,61.11311516360461,39.46913796482591,-0.3751847978767941,"[[-0.37553978881912686, 39.469134726326935], [-0.37482980693446133, 39.46914120332489]]"
Ciril Amoros,Street,0,0,113.01173667367472,39.469188602370394,-0.3670702348997771,"[[-0.36764815134376094, 39.46894720219012], [-0.3664923184557932, 39.46943000255067]]"
Arquitecte Ribes,Street,0,0,42.01884322539115,39.470449409138766,-0.4074108769531275,"[[-0.4073927174617984, 39.47063807704789], [-0.4074290364444566, 39.470260741229644]]"
Comte De Salvatierra,Street,0,0,107.91010136350243,39.46983748046883,-0.36826670788151555,"[[-0.368563917243048, 39.47026519828789], [-0.368229703941863, 39.46978466870727], [-0.3679699705500726, 39.46940943513193]]"
Arquebisbe Mayoral,Street,0,0,41.52695625735168,39.469794655812635,-0.37793590294531687,"[[-0.37783901849609447, 39.469965889221925], [-0.3780327873945392, 39.469623422403345]]"
Aben Al Abbar,Street,0,0,64.5174395028197,39.46929311894224,-0.35165098010711643,"[[-0.3517747086436442, 39.469018919139316], [-0.3515272515705887, 39.46956731874516]]"
Doctor Manuel Candela,Street,0,0,21.44990759886858,39.467850068639216,-0.35031638088928546,"[[-0.350437108448922, 39.46787396486526], [-0.3501956533296489, 39.46782617241317]]"
Orde Del Cister,Street,0,0,53.64956634493889,39.47065946534907,-0.4083512323533538,"[[-0.4080406428687573, 39.470679565444584], [-0.40866182183795036, 39.47063936525356]]"
Marti,Street,0,0,112.1882527361934,39.46543484770112,-0.3707439388695484,"[[-0.37105807602528607, 39.4658774129356], [-0.3704298017138107, 39.46499228246663]]"
Maria Cuber,Street,0,0,60.59059519430387,39.46418480769776,-0.33537229064211715,"[[-0.3357205281614729, 39.46422431847309], [-0.3350240531227614, 39.46414529692243]]"
Arxiduc Carles,Street,0,0,136.39780576339427,39.46618017152823,-0.3936688166293654,"[[-0.3931363418236634, 39.46663451839222], [-0.3931768804595042, 39.46659939242354], [-0.39328492727703696, 39.46650722331152], [-0.3940248429843069, 39.465877722305635], [-0.3941335868942199, 39.46578145096732], [-0.3941994574709482, 39.46572371292041]]"
Jose Aguilar,Street,0,0,58.92336858157382,39.465570493795106,-0.34006195901791303,"[[-0.34017423885930087, 39.465319877249435], [-0.33994967917652513, 39.46582111034078]]"
Montant,Street,0,0,24.731369250407464,39.465125540172245,-0.3268082339227638,"[[-0.3268320511132405, 39.465015731042975], [-0.3267844167322872, 39.465235349301516]]"
Doctor Manuel Candela,Street,0,0,271.8256185659411,39.46665913522003,-0.35066862898393897,"[[-0.3511338287321916, 39.46548896640626], [-0.35093062752640913, 39.46600338375964], [-0.3506005898818668, 39.4668401616235], [-0.3501956533296489, 39.46782617241317]]"
Port,Avenue,0,0,152.59090486547512,39.465803737912545,-0.3522029301031771,"[[-0.353026841603249, 39.46605656229925], [-0.3518949388380089, 39.46571009036963], [-0.35137979776729544, 39.46554839994843]]"
Montanejos,Street,0,0,23.220077758580423,39.46507003381476,-0.3262569998797076,"[[-0.32623474087498155, 39.46517316480749], [-0.32624534584106546, 39.46512386077103], [-0.32627536442986754, 39.46498491605794], [-0.32627967680340786, 39.464966997807366]]"
Soneixa,Street,0,0,47.862975361045486,39.464990595359026,-0.32655595678534777,"[[-0.3268320511132405, 39.465015731042975], [-0.32678867752372526, 39.46501022896634], [-0.32677633371479636, 39.46500994502246], [-0.3265736481503855, 39.46499176937059], [-0.32627967680340786, 39.464966997807366]]"
Industria,Street,0,0,14.270270670173009,39.46539309235759,-0.34299795647526543,"[[-0.3430271223575463, 39.4653329500788], [-0.3429687905929846, 39.465453234636364]]"
Mari Albesa,Street,0,0,59.64023241553905,39.46543104418524,-0.3433497332584879,"[[-0.3436727309178276, 39.465527874971045], [-0.34315130608388456, 39.46537182425191], [-0.3430271223575463, 39.4653329500788]]"
Xiva,Street,0,0,46.724511436718096,39.466543445721996,-0.39289167047151974,"[[-0.3926469991193761, 39.46645237305177], [-0.3931363418236634, 39.46663451839222]]"
