objectid;tipcalle;nomcalle;velocidad;st_length_shape;geo_shape;geo_point_2d
6543;C/;BORRIANA;30;110.4389213275827;"{""coordinates"": [[-0.3676281242168885, 39.464739661983614], [-0.3665037351116205, 39.46521868032994]], ""type"": ""LineString""}";39.46497917115678, -0.3670659296642545
6547;C/;VIRGINIA WOOLF (ESCRIPTORA);Peatonal;31.060676505832905;"{""coordinates"": [[-0.39833955231016577, 39.46566557981171], [-0.3984180082740464, 39.46539256670761]], ""type"": ""LineString""}";39.46552907325966, -0.39837878029210605
6549;C/;MARIÀ CUBER;30;56.07390146778091;"{""coordinates"": [[-0.3335985925218705, 39.46398198202541], [-0.3335819058888548, 39.46398159916537], [-0.3329541939975122, 39.46390864730226]], ""type"": ""LineString""}";39.46394606678843, -0.33327634103883713
6550;C/;PELAI;30;76.72094238863338;"{""coordinates"": [[-0.3791199815957301, 39.46560752488556], [-0.3794002948496531, 39.4649517078308]], ""type"": ""LineString""}";39.46527961635818, -0.3792601382226916
6552;C/;LO RAT PENAT;30;181.70113190992151;"{""coordinates"": [[-0.3539200698497013, 39.465910241605584], [-0.35406615291066523, 39.4656207826354], [-0.35469184264524417, 39.464387320499505]], ""type"": ""LineString""}";39.465148658939995, -0.3543057149035328
6554;PL;MÚRCIA;30;21.307964332615164;"{""coordinates"": [[-0.4083685817401157, 39.46556537831698], [-0.40829423696728256, 39.465748401770796]], ""type"": ""LineString""}";39.46565689004389, -0.40833140935369916
6652;PL;BISBE AMIGÓ;30;40.361646398530375;"{""coordinates"": [[-0.3866525192040157, 39.46639428549037], [-0.3864284512946275, 39.466713563973705]], ""type"": ""LineString""}";39.46655392473204, -0.38654048524932166
6658;C/;ANDRÉS MANCEBO;30;150.69110853150502;"{""coordinates"": [[-0.35496013144265165, 39.466087067473126], [-0.35518096257843157, 39.46564616818793], [-0.35559427285566014, 39.464822262070015]], ""type"": ""LineString""}";39.465454619785056, -0.35527711240160637
6951;AV;PORT;50;90.3138370896051;"{""coordinates"": [[-0.3511338287321916, 39.46548896640626], [-0.35095971444276447, 39.465437404340435], [-0.35015612060573165, 39.46519386474517]], ""type"": ""LineString""}";39.4653418699173, -0.35064483854920986
7057;AV;JACINTO BENAVENTE;50;105.53190084519468;"{""coordinates"": [[-0.3633041465935482, 39.46780819992539], [-0.3627676415959785, 39.46695370501476]], ""type"": ""LineString""}";39.46738095247008, -0.36303589409476333
7065;C/;TEATRE DE LA MARINA;Peatonal;36.56639216341364;"{""coordinates"": [[-0.3300062302909954, 39.466196740455466], [-0.3299722849764797, 39.466191456176794], [-0.32962639511113606, 39.46615649142187], [-0.32958504315830855, 39.46615554120418]], ""type"": ""LineString""}";39.46617385236318, -0.3297958342233465
7069;C/;JOSEP BARBERÀ FALCÓ;30;21.00948895142383;"{""coordinates"": [[-0.40108677230751977, 39.46779457556648], [-0.40084858681056523, 39.467753204416354]], ""type"": ""LineString""}";39.46777388999142, -0.4009676795590425
